Lyrics,Release date,Artist,Track
poppin wheelies on a banshee male groupie on some fan shit be a man not a fan dog technine with the fan dog blow your hood up like osama dog young savage with the drama dog still fuckin niggas mommas dog im still fuckin niggas mommas dog  skrrt skrrt watch the pot scrape pew pew watch the glock quake im betty crock with the cocaine lily rush with the cold case i passed the hoe for my bros sake he know i love nuttin on them hoes face im still dippin in my old pay last year money nigga in my old safe thats a old wraith its a new may back in the back nigga with a new drape hit your ass so many times you need a new face saint laurent don this aint burberry nigga do you wanna be a obituary kick you out the car cause you too scared i aint got no permit but i still carry give you a hot one nigga this a hot gun we dont stop shootin till the cops come ima rich nigga you a hot bum i got bad bitches you are not one yo bitch basic bitch nigga face it broke bitch hoe bitch club hop chase dick told me delete her number already erased it bentley truck rari maybach i been goin apeshit yeah yeah whatchu talkin bout nigga jump out with that yoppa whatchu talkin bout nigga its rainin but that keltec bring the sun out nigga i got that nick cannon brought the drum out nigga you niggas cuff to much and im up too much you cant talk to me lil bitch you ride the bus too much they kicked me out of elementary used to hunch too much used to skip class and go to school for lunch too much nigga fuck you yeah you too blue tips face shot give you a blue tooth and my bitch ass fat like bruce bruce i got a model bitch she only eat couscous ar make a nigga hit the folks dont brung me round your plug i hit them folks dont brung me round your girl i hit them folks i ran off on your partner and im with all the smoke whole pointers on my fist lil bitch quarter ticket on my wrist lil bitch nother nigga from the six lil bitch nother nigga with the shits lil bitch dont suck the balls just lick lil bitch it hurt when you suck the tip lil bitch think im slippin its on my hip lil bitch glock make you tick lil bitch,,21 Savage,Lil Bitch
skit alright go ahead and turn on the music yeah just turn it on im ready just turn on the music turn it on look everyone knows that im not really talking to anyone but myself and that im not even in a studio so just turn the music on just turn it on jesus this is all just filler right now  so fill it up with a nice encounter so fill it up with attraction so fill it up with words fill it up with a lovely dinner fill it up with a commitment yeah then fill it up with doubt  is this a joke i dont know is this a joke  so fill it up with a night of drinks so fill it up with primal instincts so fill it up with semen then fill it up with a fetus and then abort it  is this love even comparable to anything at all i dont want this to be forever so how long will it be,"December 10, 2015",404,Filler
can you say that youve converted someone today well i dont care if you know that whole world thinks the exacts same way and i can tell that youre not really all that bright have you spread the word today have you let it get away well try and find a reason to justify even letting the opinion stay cause i believe its dead and broken pre you might have thought that there is someone there who even cares enough but i can tell you that theyd rather you just shut the fuck up there aint a single soul who wants to hear your shit so for the sake of everyones sanity forget it forget it  are you gonna let it go or would you rather we all know well i know what youre gonna say and i dont even care about it cause i have heard this nonsense all before can you even drop the subject can you even listen to me no one wants to hear the words about to leave your mouth because we understand youre dumb we dont need more proof pre you might have thought that there is someone there who even cares enough but i can tell you that theyd rather you just shut the fuck up there aint a single soul who wants to hear your shit so for the sake of everyones sanity forget it forget it  i know you think that you know it all too many times ive had to catch your fall well thats okay you know theres something you can do so just go and find something new  are you still on about this shit nobody cares just shut your fucking trap you know i am so sick and tired of hearing it just drop your pamphlet and hit the road i already know about it and im no interested to hear it again cause i believe its dead and broken pre you might have thought that there is someone there who even cares enough but i can tell you that theyd rather you just shut the fuck up there aint a single soul who wants to hear your shit so for the sake of everyones sanity forget it forget it  i know you think that you know it all too many times ive had to catch your fall well thats okay you know theres something you can do so just go and find something new  find something new find something new find something new find something new,"December 10, 2015",404,Finding Something New
youve given me what you think i want but do you think i want you for you i cant flaunt what i never had but i know something that you can do weve been together for long enough to witness the changing tides if im a little bored its cause i know well be fine if you just let me inside i can see it in your eyes that you love me a lot but i really just dont care if i did then youd think id be happy when love is in the air i think you know what i want from you and it aint that hard to do shut up and take it i just want myself inside of you segue you can take me there you can take me there you can take me there you can take me there pre ecstasy is not too far from where you are i can tell that you want it hard whether you tell me it or not you know im feeling it a lot you can take me anytime you want but thats just you so i dont care now go ahead and take me there  take me to the promised land take me to the promised land yeah you can take me to the promised land the promised land an orgasm that you can share aw do you think i care if you are going there,"December 10, 2015",404,Lead Me to the Promised Land
is anybody else getting as tired with politics as i am it is a fucking shitshow here allow me to explain  youre never looking for a chance to think it over all the values that you have from your fuckin mom and dad you never think you merely listen to the echoes that all the parrots in your circles keep repeatin to themselves you dare to tell me that im an evil man well thats hella moralistic and not the path you should go down because you never even considered that you might be a little wrong and perhaps your stupid speeches may just be your swan song this little feeling that youre feeling resides within your bones but your brain aint doin nothing to carry your ass home and now you say im the one thats being immature but hell you wont even bother to let me speak you said  say whatcha mean and mean whatcha say say whatcha mean aw youre obscene  you are impassioned i can give you that but i dont really respect these morals pulled out from a hat that was worn by others who backed it up no better while saying that everybody else was the problem well i really tried to see it from your perspective but you never tried to think about what it was that i was saying i get it abortions murder when you go right but it isnt when you turn left which sounds fantastic but when you go left youre not even wanted in your skin fuck i cant make a decision when im screamed at from every angle without a second of research done without deciding what you want first you know im of the opinion that all you are batshit insane but i cant say that of course not because you said  say whatcha mean and mean whatcha say say whatcha mean aw youre obscene post so fuckin obscene break it down im feelin like im feelin like im feelin like feelin like an outcast  somethings gotta change somethings gotta change somethings gotta change somethings gotta change somethings gotta change somethings gotta change somethings gotta change somethings gotta change somethings gotta change somethings gotta change somethings gotta change  say whatcha mean and mean whatcha say aw say whatcha mean and mean whatcha say aw say whatcha mean and mean whatcha say aw say whatcha mean aw youre obscene,"December 10, 2015",404,Obscene
lauren winchester is a year old worker sitting at a conveyor belt putting car doors together for a larger company that doesnt really care about her and she just stares all day at the mechanical parts that pass her by because she really doesnt have anything else to do and life at home is not much better single parent taking care of two small children who just wont shut up and though shed love to get some rest she knows it isnt going to happen so tired everyday yet still working minimum wage hoping to provide for her family that never provides for her you know it isnt easy to know that youre at the bottom of the barrel  step ahead step ahead shes slowly walking off the edge step ahead step ahead and pretty soon shell lose her head step ahead step ahead just sitting back and wasting time step ahead step ahead we know shes gonna lose her mind step ahead step ahead  everyday shes screwing in these bolts that someone else could screw in shes treated like a fucking robot with no feelings too bad she actually has feelings she would quit if she knew for sure shed get a new job but in this world how can you know i mean it certainly isnt really that easy to do she watches as a mechanical arm puts the product together and she wishes it would put her life back together but of course that would never happen because right now her life is so all over the place that there really isnt any chance for redemption and hell even if she got it shed still be miserable i mean how cant she be  step ahead step ahead shes slowly walking off the edge step ahead step ahead and pretty soon shell lose her head step ahead step ahead just sitting back and wasting time step ahead step ahead we know shes gonna lose her mind step ahead step ahead  this is last day shes gonna put up with this shit she thinks its pretty much the worst life she couldve gotten and its not like she couldve gotten any other ones but then again what does she know she hasnt learned anything new since high school too bad she dropped out and although she wishes she could start over she knows she cant she made that one mistake thats ruined her entire life and when she asks anyone else they all tell her its her fault it hurts but then again theyre right it is her fault but its a mistake she doesnt want to live with who would i cant blame her she looks around for the exit door of the factory and the only one she sees is the one she exits out of everyday but thats not the kind of exit shes looking for you see shes looking for the final exit door and she sees a hot oven at the end of the assembly line and its unfortunate that this is exactly what she wants  step ahead step ahead and as she steps onto the line step ahead step ahead she slowly leaves her life behind step ahead step ahead shes kneeling down to get beside step ahead step ahead the oven burning deep inside step ahead step ahead it pulls her body in its flames step ahead step ahead she feels the burn and then she screams step ahead step ahead everybody turns around step ahead step ahead they run so fast prepared to help step ahead step ahead  theyre pulling her out by her legs step ahead step ahead theyre pulling her out by her legs step ahead step ahead theyre pulling her out by her legs step ahead step ahead theyre pulling her out by her legs step ahead step ahead theyre pulling her out by her legs step ahead step ahead theyre pulling her out by her legs step ahead step ahead theyre pulling out her legs step ahead step ahead step ahead step ahead step ahead step ahead step ahead step ahead step ahead step ahead,"December 10, 2015",404,Step Ahead
take a day off have a nice vacation take a day off make a reservation take a day off in emancipation take a day off with a new relation take a day off make a reservation take a day off have a tribulation take a day off leave expectations take a day off in a plastic spaceship  take a day off take a day off take a day off take a day off  take a day off have a nice vacation take a day off make a reservation take a day off in emancipation take a day off with a new relation take a day off make a reservation take a day off have a tribulation take a day off leave expectations take a day off in a plastic spaceship  take a day off take a day off take a day off take a day off collision take a day off have a nice vacation take a day off make a reservation take a day off in emancipation take a day off take a day off with a new relation take a day off make a reservation take a day off take a day off have a tribulation take a day off leave expectations take a day off take a day off take a day off in a plastic spaceship,"December 10, 2015",404,Take a Day Off
ive got an ugly secret that i just cannot tell and if youre hearing it from me then ill be seeing you in hell  ive been seein your face around on these chat rooms and you seem to be rather nice maybe you and i could talk a little bit i think i could use a friend post and youre perfect for me just perfect  after about a month of talking to you i feel really close i think its time to take this to the next level dont you i really love you and i can tell that you love me and maybe one of these days well get a chance to meet pre cause this talking shit can get a little boring sometimes and im tired of feeling lonely just talking to you through text either way though i want you to know that im grateful my life really kinda sucks without you  because ive never had a friend who even loved me at all im a lonely motherfucker i dont even get some calls i need support to make me feel something in my miserable life and youre a beautiful girl to keep me company at night post well finally get a chance to talk i know you wanna talk  youre such a lovely girl but you wont get on enough i need to talk to you more often but youre shutting me out this kind of bullshit has been pulled on me too many times before think i cant see what youre doing please dont leave me i need you pre youre complaining to me that im creeping you out god dammit youre just like the others well maybe youll listen i cant go through another rejection i just fuckin cant ill fuckin shoot myself if you ever leave me again  because you cant hate the ones that you love im beginning to think of picking up a gun i cant bear to be left another fucking time get the fuck back with me you fucking bitch post you made the right choice dont pull this again pre turn on your camera and show me what youve got my cameras broken so i just cannot  now that youre back with me maybe youll learn your lesson but you keep on fighting with me and im getting tired of it what did your friend tell you about me do you really think im that much of a fucking creep pre well guess what shes right i do have your address and now that youre done with me ill show up in a week youve left me finally well im fucking done too hope youve had a better life than me  because you cant hate the ones that you love and if you think you hate me i will solve it with a gun and i know that youre happy and you think this battles won but now youve really fucked me this time soon ill be fucking you,"December 10, 2015",404,Ugly Secret
feeling outta place plus its getting kinda late tryna make it home safe and not get raped where you live tina tummy ache gina got the funny face monas sniffing dope so her dome is leaning on your rib i bet you wish you had a benz cause you just helped your friends flag a taxi now you walking not too far from your crib craving for an acid tablet for your satisfaction said you feeling flabbergasted you just had to have it made your way to ave flagged a yellow cab now you need an upper fast to help your mellow swag black kid french braids and he keep the potent hold ya purse dont trust him cause his teeth is golden dice rolling reefer blowing in the streets he smoking blowing weed while police patrolling acid strips purple drink you can have a sip have a fix of this acid drip  hands on her thighs kiss on the lips eye for an eye drip for a drip i get ya high please dont forget i can supply the fix for ya trip hands on her thighs kiss on the lips eye for an eye drip for a drip i get ya high please dont forget i can supply the fix for ya trip,"October 31, 2011",A$AP Rocky,Acid Drip
bloody loco voice so recognize that shit you better fuckin recognize that fuckin name right now i recognize i recognize aap recognize that shit aap a fucking ap i recognize you dont play no fuckin fear in my heart  aap rocky these other niggas soso they open off my mojo spanish sophie with a half a kilo by her chocho blow it out your culo who got dough on the smoke though my partner had cinco now we blowin on that ocho bozos love my rose gold purple got me slowmo stuntin like im dorothy but my rubies in my gold though what you think this four for these niggas must be loco steppin on these bricks and for your fix so call me toto follow me follow me follow me now  aap rocky now imma come through getting down got a new cadillac with a diamond in the back got a bitch and she bad with about a hundred tats got my goons on deck and we got a hundred straps what you know about that got me swaggin to the max everybody know we got the shit and baggages to match better come correct fuck what the basis is gold grills like a set of new braces  aap rocky why they comment on my set though they lookin cause my neck gold and i let that tec show hear that echo let go that medal special to your threshold niggas actin petro like they sexual was metro bunch of bad bitches fuckin out on tour like it through the back door give it to her raw shimmy shimmy ya odb odb fuckin other niggas broads opp opp  aap rocky comin down stuntin like a bitch bitches on my dick on the set and they like the nicotine to cigarette how they fiending for a nigga got these hoes up on my sack got my niggas in the back couple bitches in the bed asap where its at where that weed how that cake bitches all up in my face back back give me space cause you know how we do it niggas scream asap aye clams nigga tell me where that bass at  aap rocky bass uhh,"October 31, 2011",A$AP Rocky,Bass
